domain_code,indicator_id,indicator_name,score_0_4,gap_to_target,evidence_source
D4,D4.01,"Отчёты по активности (входы, просмотры, прогресс)",0,0.75,опрос пользователей
D4,D4.08,"Роли и регламенты работы с данными (ответственные, SLA)",0,0.75,настройки системы
D4,D4.05,Экспорт данных/витрина данных/качество выгрузок,1,0.5,регламент/приказ
D4,D4.02,Мониторинг успеваемости и динамики по группам,1,0.5,опрос пользователей
D6,D6.06,Журналирование и аудит действий (критичные операции),1,0.5,логи активности
D4,D4.03,Выявление рисковых студентов (early warning),1,0.5,регламент/приказ
D3,D3.04,Вариативность заданий/контроль попыток/тайминги,1,0.5,регламент/приказ
D6,D6.03,"Управление правами доступа (матрица ролей, аудит)",1,0.5,опрос пользователей
D6,D6.02,"Регламенты жизненного цикла курса (создание, публикация, архив)",1,0.5,опрос пользователей
D6,D6.01,"Роли и ответственность (владелец, админ, методист, поддержка)",1,0.5,отчёты СДО
D2,D2.02,"Регламент обратной связи (сроки ответа, каналы, формат)",1,0.5,отчёты СДО
D3,D3.03,"Автоматизация проверки (тесты, автопроверка, шаблоны)",1,0.5,логи активности
